tokens,ner_labels,pos_labels
"['serbadk', 'tak', 'serba', 'salah', 'udah', '!']","['O', 'O', 'O', 'O', 'O', 'O']","['RB', 'NEG', 'RB', 'JJ', 'RB', 'Z']"
"['orang', 'pertama', 'yang', 'datang', 'ke', 'kantor', ':)']","['O', 'O', 'O', 'O', 'O', 'O', 'O']","['NN', 'OD', 'SC', 'VB', 'IN', 'NN', 'SYM']"
"['aaaaa', 'bos', 'keciill', 'nya', 'udah', 'pulang', 'thank', 'you', 'yaaa', '@taenoosaurus']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON']","['UH', 'NN', 'JJ', 'PRP', 'RB', 'VB', 'VB', 'PRP', 'UH', 'NNP']"
"['semoga', 'enggak', 'malas']","['O', 'O', 'O']","['RB', 'NEG', 'JJ']"
"['halloww', 'aku', 'ptm', 'dulss']","['O', 'O', 'O', 'O']","['UH', 'PRP', 'VB', 'RB']"
"['ㅤ', 'hugo', 'luna', 'sama', 'gue', 'ketika', 'pergi', 'ke', 'acara', 'reunian', 'sekolah', '.', 'ㅤ']","['O', 'B-PERSON', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['SYM', 'NNP', 'NNP', 'IN', 'PRP', 'SC', 'VB', 'IN', 'NN', 'VB', 'NN', 'Z', 'SYM']"
"['patas', 'jember-surabaya', 'pp', 'jember', ':', '06.35', 'wib', 'surabaya', ':', '11.35', 'wib', 'reservasi', ':', '(', 'hafidi', '/', 'cak', 'apet', ')']","['O', 'B-GPE', 'O', 'B-GPE', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-PERSON', 'O']","['NN', 'NNP', 'JJ', 'NNP', 'Z', 'CD', 'NN', 'NNP', 'Z', 'CD', 'NN', 'VB', 'Z', 'Z', 'NNP', 'SYM', 'NN', 'NNP', 'Z']"
"['kata', 'gue', 'sekarang', 'minyun', 'post', 'coming', 'soon']","['O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O']","['VB', 'PRP', 'RB', 'NNP', 'NN', 'JJ', 'RB']"
"['pengen', 'upload', 'tapi', 'enggak', 'tau', 'mau', 'upload', 'mana', 'jadi', 'upload', 'sini', 'saja', 'soalnya', 'ini', 'lucu', 'meskipun', 'dark', '️']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['MD', 'VB', 'CC', 'NEG', 'VB', 'MD', 'VB', 'WH', 'SC', 'VB', 'PR', 'RB', 'SC', 'PR', 'JJ', 'SC', 'JJ', 'SYM']"
"['kr', '!', 'tolong', 'gue', 'harus', 'apa', 'yaa', 'biar', 'enggak', 'kayak', 'gini', 'lagi', 'di', 'kerjaan', 'selanjutnya', 'overthinking', 'banget', 'dan', 'enggak', 'enak', 'sama', 'atasan', 'takut', 'memberikan', 'kesan', 'buruk', 'setelah', 'selesai', 'nanti']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O' , 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['SYM', 'Z', 'VB', 'PRP', 'MD', 'WH', 'UH', 'SC', 'NEG', 'IN', 'RB', 'RB', 'IN', 'NN', 'RB', 'NN', 'RB', 'CC', 'NEG', 'JJ', 'IN', 'NN', 'JJ', 'VB', 'NN', 'JJ', 'IN', 'VB', 'RB' ]"
"[""i'm"", 'selling', 'erti', 'kehidupan', 'memoir', '80', 'tahun', 'dr', '.', 'raza', '...', 'for', 'rm', '.', 'get', 'it', 'on', 'shopee', 'now', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O']","['PRP', 'VB', 'NNP', 'NNP', 'NNP', 'CD', 'NND', 'NN', 'Z', 'NNP', 'Z', 'IN', 'SYM', 'Z', 'VB', 'PRP', 'IN', 'NNP', 'RB', 'Z']"
"['bismillah', 'pss', 'sleman', 'menang', 'hari', 'ini', '!', '!', '!']","['O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O' ]","['UH', 'NNP', 'NNP', 'VB', 'NN', 'PR', 'Z','Z', 'Z']"
"['gue', 'baru', 'tau', 'ternyata', 'instagram', 'bisa', 'gini']","['O', 'O', 'O', 'O', 'B-ORG', 'O', 'O']","['PRP', 'RB', 'VB', 'VB', 'NNP', 'VB', 'PR']"
"['emak', 'gue', 'ternyata', 'sekarang', 'udah', 'bisa', 'nge-delive', 'whatsapp', 'persis', 'kayak', 'kebiasaan', 'anaknya', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O']","['NN', 'PRP', 'VB', 'RB', 'MD', 'MD', 'VB', 'NNP', 'JJ', 'IN', 'NN', 'NN', 'Z']"
"['tehe', '!', 'ada', 'saran', 'buat', 'team', 'xiao', '?', 'character', 'yang', 'level', 'rendah', 'juga', 'termasuk', 'karena', 'bakalan', 'di', 'build', 'juga', 'tia', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O']","['SYM', 'Z', 'VB', 'NN', 'IN', 'NN', 'NNP', 'Z', 'NN', 'SC', 'NN', 'JJ', 'RB', 'VB', 'SC', 'MD', 'PR', 'VB', 'RB', 'NNP', 'Z']"
"['enggak', 'jadi', 'insecure', 'deh', 'soalnya', 'kita', 'masih', 'sama-sama', 'belajar', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['NEG', 'VB', 'JJ', 'RP', 'SC', 'PRP', 'RB', 'RB', 'VB', 'Z']"
