,full_text
0,Serbadk tak serba salah dah! https://t.co/H8ZbHetFWw
1,Org pertama yg dtg ke kantor:) https://t.co/UdCcLOPC2K
2,aaaaa bos keciill nya Udah pulang thank you yaaa @taenoosaurus https://t.co/T0zNATzWyE
3,Semoga ga males https://t.co/kECCVZFy4k
4,halloww ak ptm dulss https://t.co/FdKTH1ypgU
5,ㅤ Hugo Luna sama gue ketika pergi ke acara reunian sekolah. ㅤ https://t.co/wtUaDM1GLz
6,PATAS Jember-Surabaya PP Jember : 06.35 wib Surabaya : 11.35 wib Reservasi : 085236439046 (Hafidi/Cak Apet) #Jember_Surabaya_Patas https://t.co/xatCGpgHNu
7,Kata gue skrng minyun post COMING SOON https://t.co/T666eLzcpV
8,Pengen upload tp gtw mo upload mana jadi upload sini aja soalnya ini lucu meskipun dark ️ https://t.co/cSbQyrakUi
9,kr! tolong gue harus apa yaa biar gak kayak gini lagi di kerjaan selanjutnya overthinking bngt dan gak enak sama atasan takut memberikan kesan buruk setelah selesai nanti https://t.co/BRAb4J71yB
10,Bergaaaaaa
11,I'm selling Erti Kehidupan Memoir 80 Tahun Dr. Raza... for RM. Get it on Shopee now! https://t.co/VvwTz1VKS5 #ShopeeMY https://t.co/50I0HxHeXt
12,Bu bennnnnngkgigohohoh https://t.co/YAfYCGeHVi
13,Yaan haha makulit kasi wag habulin at hindi pagkain ang bubuyog HAHAHA https://t.co/6AVUxhWjRa
14,#bsgstdonuts : 13b08ae0-e527-4f90-bd79-0c5445240f8f
15,Hwa fe ehhhhh bgd 
16,mamemeet ko na ang ibang BTLED️
17,Bismillah PSS Sleman menang hari ini!!! #PSSday
18,Banger https://t.co/HzOoVFucVj
19,Satan
20,gue baru tau ternyata ig bisa gini https://t.co/8jdhoIxUzn
21,emak gue ternyata sekarang udah bisa nge-delive WA persis kek kebiasaan anaknya . https://t.co/yuX8ZzfGGh
22,Tehe! Ada saran buat team Xiao? Chara yg level rendah jg termasuk krn bakalan di build juga tia! https://t.co/f3V9BDcUyb
23,bonebooooone! cu
24,Gak jadi insecure deh soalnya kita masih sama-sama belajar.
25,Ang lamig putangina
26,jinsung
27,sdgc and mars
28,Pakyu covid
29,Nani
30,ini siapa yang pagi pagi udah ngegalau di base 
31,kamil'e bak ahahah
32,Baba :(
33,Mi bb hermosaa 
34,muka senja gw ilang dah
35,Loutakh nekouma sucette ? Taye nak yallah togn nemeu
36,Hallo selamat pagi apakah pagi harimu sudah di awali dengan sambat?
37,kangen bgt jujur
38,Pagi pagi dah sakit hati
39,Jumat Mubarok full senyum
40,selamat pagi euy! ada yang ngerti maksudnya gak? asa jero kieu menurut aku mah.. *dari trending https://t.co/CsXk2YFZRf
41,-/-/- 02:40 6psx H
42,-/-/- 17:10 6psx B
43,-/-/- 19:10 6psx B
44,-/-/- 12:10 5psx B
45,-/-/- 06:30 5psx F
46,-/-/- 12:00 8psx L
47,NGGA SCREENSHOT JUGA ANYING
48,4 Cara Cek Nomor Indosat Untuk Yang Lupa Nomor Sendiri Praktis! https://t.co/n3hmdrwbQh
49,semangat pagi jeci @C_JessiJKT48 see you..
50,NarutoFans_Indo [HELP RT] RolePlay untuk semua artis diDunia^^ wanna book?mention;) rules?ava^^
51,studio choom bisa bicara sebentar gk
52,Layout gua keren gak?
53,Baju oversized saat aku yg pake jadinya slim fit
54,Bakne3 nafsy el hwa hafdal sahii lehad 9 maslan
55,sekolah lagi sekolah lagii
56,Aku rasa otak aku belum capai tahap utk faham alur jalan cerita Steinsgate ni.. Rumit anjing nak faham
57,BUSETTT JAM BERAPA INI AYO KERJAAAA
58,Salam Jumat Barakah Semoga kita semua selalu dalam keadaan sehat bersyukur dan dilindungi oleh Allah SWT. Aamiin Ya Rabbal Aalamin 
59,Embun Pagi Ketika Allah SWT memberimu nikmat secara finansial jangan tingkatkan standar hidupmu akan tetapi tingkatkan standarmu dalam bersedekah.
60,Peserta pertama af 1 memangla macam kena korban bunyi nya.
61,Serem bgt Poor mas samdol 
62,Ay liat ay @dessertseja
63,Kepala pundek betul. Mentang2 jalan dua lane ni lebar kau jadikan 3 lane. Lagi lambat bodo traffic macam ni.
64,Duh Ya Allah degdegan bimbingan malem 
65,Kahkahkah dulu sedih gak la nak2 bila rosma tersingkir kahkahkah. Babun la
66,Jam pertama MTK hadeh
67,Wewangsalan Lucu Be Pindang Jukut Kangkung https://t.co/wf0LCkHdFp
68,Wilujeng enjing wargi Sukabumi January 07 2022 at 06:59AM nuju bade aktifitas naon dinten ieu ?
69,wait WHAT BARU BANGUN
70,gerak dikit jompo ga gerak juga jompo syp itu
71,Ngomongin privasi di zaman nabi privasinya apa?? Mksutnya yg bentukannya kek hp gitu
72,nyelundupin kfc ingetnya itu doang sih
73,os kyujung em libido https://t.co/N4GP7Dr32a
74,/biu/ minta review nya dong kak:) https://t.co/BEj8NKER7m
75,MANCA UN'ORA https://t.co/49QkiBGT7G
76,HERMAN???? https://t.co/lxuelRkNWP
77,gang gang #JUNHOE #JUNE #구준회 #ジュネ #具晙会 #iKON #아이콘 @tkwpcnfak https://t.co/s5WmcHOY3Z
78,Yoongi https://t.co/qoHgbP7BoV
79,Selamat Hari Keputeraan yang ke-74 kepada Duli Yang Maha Mulia Yang Di-Pertuan Besar Negeri Sembilan Darul Khusus.Tuanku Muhriz Ibni Almarhum Tuanku Munawir. Semoga Allah memberkati Pemerintahan ke Bawah Duli Tuanku. https://t.co/ue8mZ8w5qS
80,pagi all! jangan lupa sarapan https://t.co/bnRLLt8VZs
81,Jumma mubarak #SajalAly #IshqELaa https://t.co/sxbfP7i7IN
82,Gk mw dare https://t.co/azV2kzNWmX
83,Cara menjadi gay https://t.co/6LfNwYf0qB
84,bangun pagi rindu seokjin parah cenggini https://t.co/khE8Ne39eA
85,SEREM BANGET https://t.co/g4WoMECcgM
86,TEH antilemak. diminum setiap hari dengan kapsul fatburn nya. badan kamu akan ideal. PIN:D778B048 WA:081322071239 https://t.co/fXd3MPbGgJ
87,Orang yang ada dengan kita sekarang tak akan selamanya ada dengan kita. Belajar untuk berdikari hidup dengan kemampuan sendiri. Yakin dengan potensi diri. Selebihnya adalah rezeki.
88,yeji
89,Cuma di game GTA 3 Claude tidak bisa ganti pakaian dan ini spoiler foto game yg gue record yaitu GTA 3 part 7 video ini tayang tgl 18 Februari 2022 ingat misi ini gak kalau ingat kalian berarti pemain lama GTA https://t.co/1Uzd9hYWQf
90,jumat malas padahal esok sudah weekend. https://t.co/dmGWaJERZ2
91,Kenapa org pada pengen umur panjang
92,merinding bgt liat ateez udh ke bandara
93,Honk https://t.co/nnIlSenRNw
94,Kandonggggggg
95,Nah Buser nya lagi ngambek @Nicho_Silalahi @AldoBabeh @MprAldo https://t.co/v7vbhzpd9L
96,Kamu tuh nyebelin tapi ngangenin :)
97,gang gang
98,Kebhinekaan kekayaan alam itu sih ciptaaan Tuhan perlu di syukuri. Tapi persatuan &amp; bagaimana kekeyaan alam di nikamti scr adil merata itu upaya perlu ihktar. Pertanyaanya apakah skrng kita lebih bersatu atau lebih maksmur adil dlm menikmat sda ? https://t.co/jLaqFTpOL8 https://t.co/85J0SMTZBh
99,Hindi
100,BISA BANTU PROMOTE SIAPA SAJA?^^
101,anak freak
102,Seronoknya jadi org pandaikita ni insecure
103,Rakan-rakan boleh bantu hubungkan saya dengan adik kita ini? Kami berhasrat untuk memberikan kaunseling trauma kepada beliau dan membantu dari segi psikososial beliau. Jika tahu PM okay?
104,safeTweet : 4b8774f4-f7dc-456d-8fae-e17046959f2c
105,Murahimutcekalehmwah;* murahmurah~
106,Bruh
107,Siiiiiriiiii
108,ela dscpa changbin
109,Aaa sakit dada xhabis lg dri smlm
110,Rumah kalian mendung ngga??
111,Coba @jnsowI bantu jawab wkwk
112,Kittttryyyyy!!!!
113,di na masama https://t.co/r2DFm5X4iR
114,BASIC shirt Gemes banget gak sih warnanya? https://t.co/byUw7wPZdV https://t.co/XXGVuTqDpS
115,kq security 
116,-/-/- 10:50 6psx J
117,nct pengangguran era
118,mode otomatis dimatikan anda sekarang bernafas dalam mode manual
119,BAE SEUNGMIN IS 2M!
120, Keberhasilan kita di masa depan lebih penting daripada kepedihan kita di masa lalu. 
121,ya allah serem https://t.co/IgCUFtgBP5
122,halo gais aku normal ga
123,Kau tidak perlu memaafkanku apapun yang kau lakukan aku akan tetap menyayangimu.
124,aku ptm dl gais bye
125,HAAHAHAHAHAHAHHA
126,Garin dadi na nesa
127,anjrit rame banget???? https://t.co/IgCUFtgBP5
128,kau dah tak suka aku ke benci ke apa dah boleh blah kay go die aku pon tak hadap la nak tengok kau
