conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1611512909406011392,Fri Jan 06 23:59:52 +0000 2023,4,Kefe https://t.co/rCjk2CYn7d,1611512909406011392,https://pbs.twimg.com/media/Fl0-cq_aYAA5J-U.jpg,,in,"AK, New Zealand",0,0,0,https://x.com/HD_reMYX/status/1611512909406011392,1294862971584176128,HD_reMYX
1611512913138962433,Fri Jan 06 23:59:53 +0000 2023,1,FRIDAY JANUARY 6 2023 EZEKIAH MORDECAI FUSARIO https://t.co/8ArnmHIRmH,1611512913138962433,https://pbs.twimg.com/media/Fl0-dEfWAAAoc7Q.jpg,,in,"Albuquerque, New Mexico USA",0,0,0,https://x.com/EzekiahMordecai/status/1611512913138962433,1560770927218098177,EzekiahMordecai
1611512914028134402,Fri Jan 06 23:59:53 +0000 2023,0,Alhamdulillah cuaca cerah...HST 23. Tomat Momotaro https://t.co/rAMsHNzIze,1611512914028134402,https://pbs.twimg.com/ext_tw_video_thumb/1611512820478406663/pu/img/Cy4b_-QadNT4AT3u.jpg,,in,,0,0,0,https://x.com/bonnysyafei/status/1611512914028134402,848940937,bonnysyafei
1611512901713657857,Fri Jan 06 23:59:50 +0000 2023,1,Setuju gus https://t.co/4OGzbuzmLE,1611512901713657857,https://pbs.twimg.com/media/Fl0-Zh0aUAAbHLP.jpg,,in,,0,0,0,https://x.com/SafiiEliztiyo/status/1611512901713657857,1599916540412841988,SafiiEliztiyo
1611512893748527104,Fri Jan 06 23:59:48 +0000 2023,1715,Ame!! Happy Birthday!!!- ̗̀ ̖́- #ameliaRT https://t.co/RThLrnD4ak,1611512893748527104,https://pbs.twimg.com/media/Fl0-bRPaMAELLpc.jpg,,in,日本,2,7,306,https://x.com/moon2dog/status/1611512893748527104,983514200,moon2dog
1611512892079181824,Fri Jan 06 23:59:48 +0000 2023,0,Selamat pagi warga ciputat ciputat lebak bulus dan sekitarnya! Awali setiap hari ini dengan doa dan penuh semangat :),1611512892079181824,,,in,"Ciputat, Indonesia",0,0,0,https://x.com/ciputatinfo_/status/1611512892079181824,1614524208,ciputatinfo_
1611512933137145858,Fri Jan 06 23:59:58 +0000 2023,123,Orada kimse yok mu ? #2000LereKADEME,1611512933137145858,,,tr,,0,9,81,https://x.com/esrakyby/status/1611512933137145858,557249769,esrakyby
1611512892901437440,Fri Jan 06 23:59:48 +0000 2023,0,nangis bgt https://t.co/6ndBnAevny,1611512892901437440,https://pbs.twimg.com/media/Flyvy0takAMlCVJ.jpg,,in,98L,0,1,0,https://x.com/doyochiee/status/1611512892901437440,1426917164901036032,doyochiee
1611512914443214853,Fri Jan 06 23:59:53 +0000 2023,1,Bgdd kol da bahwel aftker hya shabh ehhhh,1611512914443214853,,,in,"Cairo, Egypt📍",0,0,0,https://x.com/whotfamibgd/status/1611512914443214853,1247994574389329927,whotfamibgd
1611512898928652291,Fri Jan 06 23:59:50 +0000 2023,0,kangen,1611512898928652291,,,de,kosong,0,3,0,https://x.com/menburuk/status/1611512898928652291,1607998883438944256,menburuk
1611512935049990146,Fri Jan 06 23:59:58 +0000 2023,0,Part org kata buruk dkt kazar siapa je taknak menantu kaya? Aku boleh gelak saja. Cetek sgt pemikiran,1611512935049990146,,,in,ktn.my,0,0,0,https://x.com/theatkh_/status/1611512935049990146,2173441657,theatkh_
1611512916511186944,Fri Jan 06 23:59:54 +0000 2023,0,Nambah2in twit akk?,1611512916511186944,,,in,reza 3,0,0,0,https://x.com/ya_febi/status/1611512916511186944,1378770428,ya_febi
1611512920915214338,Fri Jan 06 23:59:55 +0000 2023,0,SELALU SIAPP,1611512920915214338,,,in,,0,0,0,https://x.com/hylliee/status/1611512920915214338,1562694018890285057,hylliee
1611512910194393088,Fri Jan 06 23:59:52 +0000 2023,8, Si photoshoppata ok Chri ok... https://t.co/YotRnsQboA,1611512910194393088,https://pbs.twimg.com/media/Fl0-cr8WAAE6VRL.jpg,,in,Stanza verde- Amici,0,0,0,https://x.com/tblu56/status/1611512910194393088,105904218,tblu56
1611512884684521473,Fri Jan 06 23:59:46 +0000 2023,0,yujin ive,1611512884684521473,,,in,6teen | ccp,0,0,0,https://x.com/lunesferiadooOo/status/1611512884684521473,1573461544461008908,lunesferiadooOo
1609435799044657154,Sun Jan 01 06:33:21 +0000 2023,40,@TeamBandL @Skrillex @ISOxo_ @LEDpresents BRUHHH,1609437606550421506,,TeamBandL,en,WORLDWIDE,0,0,0,https://x.com/YELLOWCLAW/status/1609437606550421506,235542752,YELLOWCLAW
1611512921510805506,Fri Jan 06 23:59:55 +0000 2023,0,Kesunyian adalah seorang manusia tanpa cinta,1611512921510805506,,,in,,0,0,0,https://x.com/ochadiandraa/status/1611512921510805506,441570301,ochadiandraa
1611512920009236481,Fri Jan 06 23:59:55 +0000 2023,0,nggak,1611512920009236481,,,in,✮⋆˙haloww ᝰ.ᐟ,0,0,0,https://x.com/seraivu/status/1611512920009236481,1392431630824861697,seraivu
1611512909523476480,Fri Jan 06 23:59:52 +0000 2023,0,Selamat hari Sabtu yang huhu :' https://t.co/dlw4GIrhz5,1611512909523476480,https://pbs.twimg.com/media/Fl0-bP3akAQN5nM.jpg,,in,pale blue dot,0,1,0,https://x.com/cavendishfleur/status/1611512909523476480,706142581122428930,cavendishfleur
1611512894730145793,Fri Jan 06 23:59:49 +0000 2023,1,masuk ga,1611512894730145793,,,in,,0,0,0,https://x.com/snbadut/status/1611512894730145793,1601196441329803264,snbadut
1611512910802718721,Fri Jan 06 23:59:53 +0000 2023,0,Gengsi aja di gedein ah elah,1611512910802718721,,,in,"Bali, Indonesia",0,0,0,https://x.com/fmnhdllh28/status/1611512910802718721,1557396979181039624,fmnhdllh28
1611512918859972609,Fri Jan 06 23:59:54 +0000 2023,0,Nah ini.,1611512918859972609,,,in,Any pronouns.,0,1,0,https://x.com/constellatite/status/1611512918859972609,997751217659854848,constellatite
1611512927307157504,Fri Jan 06 23:59:56 +0000 2023,2,japi tri kin dei cb,1611512927307157504,,,in,,0,0,0,https://x.com/AdvilCherry/status/1611512927307157504,1323521435105693696,AdvilCherry
1611512889877078018,Fri Jan 06 23:59:48 +0000 2023,0,ngm merece,1611512889877078018,,,in,,0,0,0,https://x.com/tenkiesoul/status/1611512889877078018,916291635587239937,tenkiesoul
1614049635114573824,Fri Jan 13 23:59:55 +0000 2023,18,versi no stikernya di priv acc yuu dicek-cek https://t.co/h7SVATDuJi,1614049635114573824,https://pbs.twimg.com/media/FmZBljOakAARwQe.jpg,,in,,1,1,0,https://x.com/UrCurvGirl/status/1614049635114573824,1554880415605063680,UrCurvGirl
1614049618379280384,Fri Jan 13 23:59:51 +0000 2023,9,Dijual Tanah di Desa Mekarsari Rancabungur Bogor Luas Tanah 388m2 Harga 200 juta Nego. BU. Numpang Tag ya Teh @RheinaHerlina Bunda @Just_dhee1203 dan Bang @parlinburman84 Terima kasih.. https://t.co/wc8MaP9AlH,1614049618379280384,https://pbs.twimg.com/media/FmZBkkSagAEjwzM.jpg,,in,,1,2,9,https://x.com/yesamoon/status/1614049618379280384,2992800439,yesamoon
1614049593364451329,Fri Jan 13 23:59:45 +0000 2023,0,Selamat sembilan tahun UUD Desa Bisa #9TahunUUDesa @jokowi @tppkemendes @taufikmadjid71 @halimiskandarnu @kemendespdtt @malik_haramain @imansyukri @yusradaridesa @azzameldzikrie https://t.co/Og2izvCQku,1614049593364451329,https://pbs.twimg.com/media/FmZBieRaYAAdhy1.jpg,,in,"Muaradua, Indonesia",0,0,0,https://x.com/ALBERTHENDRI1/status/1614049593364451329,926710822872612865,ALBERTHENDRI1
1614049641670279169,Fri Jan 13 23:59:56 +0000 2023,6,Rahajeng rahina Kuningan semetown https://t.co/pgHlB43Y0l,1614049641670279169,https://pbs.twimg.com/media/FmZA6-oakAA3RsD.jpg,,in,"Edinburgh, Scotland",0,2,0,https://x.com/biotaterestrial/status/1614049641670279169,1347898598411759618,biotaterestrial
1614049635454320642,Fri Jan 13 23:59:55 +0000 2023,2,Langit pagi ini saat menunggu sunrise https://t.co/qlFcicKRy3,1614049635454320642,https://pbs.twimg.com/media/FmZBlKfagAAleHU.jpg,,in,"ÜT: -6.2410832,106.8318818",0,0,0,https://x.com/DiahEksa/status/1614049635454320642,66627930,DiahEksa
1614049604374507521,Fri Jan 13 23:59:47 +0000 2023,0,hasil ngebut pagi-pagi https://t.co/VfMrwKp42s,1614049604374507521,https://pbs.twimg.com/media/FmZBjgmacAMbtNW.jpg,,in,,0,0,0,https://x.com/sonatamaut/status/1614049604374507521,1272312637234098176,sonatamaut
1614049603703431168,Fri Jan 13 23:59:47 +0000 2023,0,Sudah 9th. Kalo twitter pertamaku gak di hack. Lebih dari ini malahan Ingatkah Anda kapan bergabung dengan Twitter? Ya saya ingat! #HariJadiTwitterSaya https://t.co/Fr1OZRa7sZ,1614049603703431168,https://pbs.twimg.com/media/FmZBjs6aAAA19re.jpg,,in,"Tuban, Indonesia",0,0,0,https://x.com/diki_12setiawan/status/1614049603703431168,2291141844,diki_12setiawan
1614049645730332674,Fri Jan 13 23:59:57 +0000 2023,1,Om Swastyastu Makna Hari Raya Kuningan adalah untuk memohon keselamatan kedirgayusan perlindungan dan tuntunan lahir-batin. Hal ini tunjukkan ujmat Hindu dengan melakukan pemujaan kepada para Dewa Bhatara dan para Pitara. https://t.co/Q0kQDLGjd0,1614049645730332674,https://pbs.twimg.com/media/FmZBmKKaUAE7VzV.jpg,,in,UNIVERSITAS MATARAM,0,1,0,https://x.com/kmhdunram/status/1614049645730332674,1185424327,kmhdunram
1614049649056256000,Fri Jan 13 23:59:58 +0000 2023,0,00:00 Temp 10.4oC Baro. 998.8 hPa Hum. 95% Max -100.0oC Min 100.0oC Rain 0.0 mm WindAvg 9.9 km/h SSW https://t.co/25dfyyWA8p https://t.co/xH00QmztYE,1614049649056256000,https://pbs.twimg.com/media/FmZBmibWYAUXPf3.jpg,,in,"Waterford, Ireland",0,0,0,https://x.com/waterfdweather/status/1614049649056256000,222879759,waterfdweather
1614049643146641409,Fri Jan 13 23:59:57 +0000 2023,27,Bismillah Rasa syukur yang abadi adalah ucapan syukur yang kita panjatkan saat matahari mulai muncul menerangi seisi bumi. Syukurilah kehidupan kita setiap hari. Selamat pagi MET Weekend Sobat tweeps https://t.co/ySmSk2Rpjo,1614049643146641409,https://pbs.twimg.com/media/FmZBlYLagAAwf4i.jpg,,in,,0,5,0,https://x.com/Daliem8/status/1614049643146641409,1499987000128315392,Daliem8
1614049619985694721,Fri Jan 13 23:59:51 +0000 2023,1,‼ SUPER DISKON ‼ Novere Kei Set ️ DISKON : 55% Checkout Sekarang https://t.co/J36jM7RrLS https://t.co/aELbkCRcHy,1614049619985694721,https://pbs.twimg.com/media/FmZBkuKakAAcyX2.jpg,,in,Indonesia,0,0,0,https://x.com/vaniakeisya_/status/1614049619985694721,2489999227,vaniakeisya_
1614049590491381760,Fri Jan 13 23:59:44 +0000 2023,0,Bangun tidur kangen kamu. Ngga dosa kan yaa?,1614049590491381760,,,in,Sragen,0,0,0,https://x.com/ayy_kusumaa/status/1614049590491381760,588899287,ayy_kusumaa
1614049596581515264,Fri Jan 13 23:59:46 +0000 2023,0,TAUDYAU,1614049596581515264,,,in,cabin 7,0,0,0,https://x.com/princeklore/status/1614049596581515264,1479173813610942466,princeklore
1614049612251426816,Fri Jan 13 23:59:49 +0000 2023,0, Logistics? Bersihkan logi tahi ke? Handle sampah? Little did she knew that nak makan nasi pun perlukan logistics ,1614049612251426816,,,in,Long way to go,0,2,0,https://x.com/asazaidy_/status/1614049612251426816,2877750152,asazaidy_
1614049653552734208,Fri Jan 13 23:59:59 +0000 2023,0,#WTS Plastik PP COD Fx / JNE CP ada di bio.. 1pcs = 10k.. 2pcs = 20k.. 3pcs = 25k dst.. 08979627299 / 59879BB8.. https://t.co/g3aDSbTpnM,1614049653552734208,https://pbs.twimg.com/media/BvsdsVpCUAAcEZ1.jpg,,in,jakarta,0,0,0,https://x.com/MarketPp48/status/1614049653552734208,1010442918,MarketPp48
1614049628240117760,Fri Jan 13 23:59:53 +0000 2023,1,HAHAHAHAHA SIII,1614049628240117760,,,tl,Honduras,0,0,0,https://x.com/itsnicolee19/status/1614049628240117760,1201633104621965312,itsnicolee19
1614049650616700928,Fri Jan 13 23:59:58 +0000 2023,0,kian hari kian ,1614049650616700928,,,in,,0,0,0,https://x.com/minie__min/status/1614049650616700928,1206249110098960384,minie__min
1614049612314349570,Fri Jan 13 23:59:49 +0000 2023,0,‼ SUPER DISKON ‼ Aerostreet 36-40 Rose Putih Natural Hitam - Sepatu Sneakers Casual Sport Pria Wanita Aero Street 21JJ27 ️ DISKON : 50% Checkout Sekarang https://t.co/xs7W0K7Kcc https://t.co/cB9tHgWveI,1614049612314349570,https://pbs.twimg.com/media/FmZBkRQacAAssgZ.jpg,,in,,0,0,0,https://x.com/putridewia_a/status/1614049612314349570,1532694652591419392,putridewia_a
1614049604156420098,Fri Jan 13 23:59:47 +0000 2023,2,Bodoamat Gw cuma mau aladin HAPPY ENDING!,1614049604156420098,,,in,,0,0,0,https://x.com/_Jovierawr/status/1614049604156420098,1570442057478713347,_Jovierawr
1614049636356075522,Fri Jan 13 23:59:55 +0000 2023,0,Kalo sayang kenapa harus nyakitin dengan ninggalin dan nyelingkuhin? :'(,1614049636356075522,,,in,,0,0,0,https://x.com/ochadiandraa/status/1614049636356075522,441570301,ochadiandraa
1614049644144910336,Fri Jan 13 23:59:57 +0000 2023,4,Boleh jadi kamu membenci sesuatu padahal ia amat baik bagimu dan boleh jadi (pula) kamu menyukai sesuatu padahal ia amat buruk bagimu. Allah mengetahui sedang kamu tidak mengetahui. (QS. Al-Baqarah: 216),1614049644144910336,,,in,"DKI Jakarta, Indonesia",0,1,0,https://x.com/loypunzel/status/1614049644144910336,320628928,loypunzel
1614049601216184321,Fri Jan 13 23:59:47 +0000 2023,0, tapi sakit doh rasa dia ,1614049601216184321,,,in,Malaysia,0,0,0,https://x.com/nvdyy/status/1614049601216184321,4732226592,nvdyy
1614049633084506115,Fri Jan 13 23:59:54 +0000 2023,1,Ang pogi talaga ng asawa ni meme,1614049633084506115,,,tl,,0,0,0,https://x.com/SangalangMinda/status/1614049633084506115,1563818779141763072,SangalangMinda
1614049621822803968,Fri Jan 13 23:59:52 +0000 2023,0,aku mau tidur,1614049621822803968,,,in,swiss,0,0,0,https://x.com/stellifyrizzzz/status/1614049621822803968,1231817801687584768,stellifyrizzzz
1614049594786336768,Fri Jan 13 23:59:45 +0000 2023,0,Mending pindah rumah ga sih ,1614049594786336768,,,in,sub,0,0,0,https://x.com/jimmonx/status/1614049594786336768,153694146,jimmonx
1614049590818361345,Fri Jan 13 23:59:44 +0000 2023,0,Mtchww nawa 5k take a tattalin arzikin Nigeria ?,1614049590818361345,,,in,"Gombe, Nigeria",0,0,0,https://x.com/_asmieh/status/1614049590818361345,1327639130017312768,_asmieh
1614049621789270018,Fri Jan 13 23:59:52 +0000 2023,0,Bahkan hiburan masyarakat saja kau ambil..@excoPSSI @Liga2Match end @Liga1Match tidak degradasi Ente kadang kadang ente @excoPSSI,1614049621789270018,,,in,Indonesia,0,0,0,https://x.com/FajarMu81/status/1614049621789270018,804165144,FajarMu81
1614049593272205313,Fri Jan 13 23:59:45 +0000 2023,0,gOOD MORNING OLL!! Zell open yaa hari ini open nya agak pagi hehehe,1614049593272205313,,,in,dana & qris only,0,0,0,https://x.com/gripzelle/status/1614049593272205313,1424614027636842501,gripzelle
1614049627585810432,Fri Jan 13 23:59:53 +0000 2023,5,new obituary uwu ,1614049627585810432,,,in,UK,0,0,0,https://x.com/djamilayasmin/status/1614049627585810432,35196704,djamilayasmin
1614049597495861252,Fri Jan 13 23:59:46 +0000 2023,0,Yuk yg butuh joki tugas pembuatan makalah laporan magang artikel paper essay karya tulis ilmiah (KTI) critical review merangkum/meringkas review jurnal parafrase ppt desain poster infografis mindmap bisa hubungin kami ya #zonajajan #zonauang #zonaba #jokitugas,1614049597495861252,,,in,,0,0,0,https://x.com/jokidarihati/status/1614049597495861252,471746619,jokidarihati
1614049632815915008,Fri Jan 13 23:59:54 +0000 2023,1,HOY SE RIFAN SHINYS ! 130~/392 MASUDA SHINY HUNT ! https://t.co/vDcuY7xmWt,1614049632815915008,,,in,"Metepec, México",0,0,0,https://x.com/AztcSan/status/1614049632815915008,166374650,AztcSan
1614049650016657408,Fri Jan 13 23:59:58 +0000 2023,0,Jadi pengen ngerp lagi kan gue,1614049650016657408,,,in,,0,0,0,https://x.com/bleucieIs/status/1614049650016657408,1413951580164997121,bleucieIs
1614049609797763074,Fri Jan 13 23:59:49 +0000 2023,0,Shalat itu... . . Istiqomah Terus Berdakwah .️️. #n2ZqR https://t.co/tOnSJGUXbn,1614049609797763074,https://pbs.twimg.com/media/C8nnjj3XYAAkQoG.jpg,,in,,0,0,1,https://x.com/althafalhusein/status/1614049609797763074,1607367670097416192,althafalhusein
1614049606190632960,Fri Jan 13 23:59:48 +0000 2023,0,Arjun,1614049606190632960,,,in,,0,0,0,https://x.com/Bh52258509Bhai/status/1614049606190632960,1601389702288150529,Bh52258509Bhai
1614049604684898304,Fri Jan 13 23:59:48 +0000 2023,0,bison,1614049604684898304,,,fr,,0,0,0,https://x.com/bonvoyajyu/status/1614049604684898304,1598868615973212160,bonvoyajyu
1614049628932157442,Fri Jan 13 23:59:53 +0000 2023,0,Antu fighter. Tak ingat dah eja macam mana,1614049628932157442,,,in,chini pahang,0,0,0,https://x.com/yunnishak/status/1614049628932157442,356594846,yunnishak
1614049608103268352,Fri Jan 13 23:59:48 +0000 2023,1,Yang dikejar sukses yang dapat setress.,1614049608103268352,,,in,"Tegal, Jawa Tengah",0,0,0,https://x.com/dinarmrtn/status/1614049608103268352,1613860374910230528,dinarmrtn
1614049594559631362,Fri Jan 13 23:59:45 +0000 2023,0,Clbc mlk kkkkk,1614049594559631362,,,pt,,0,0,0,https://x.com/andreycosta0km/status/1614049594559631362,1599100758930194435,andreycosta0km
1615933848025698306,Thu Jan 19 04:47:06 +0000 2023,199,BERLIN 23 https://t.co/k9gWQHpyqT,1615933848025698306,https://pbs.twimg.com/media/FmzzRMiXkAEaAwd.jpg,,in,WORLDWIDE,2,5,24,https://x.com/YELLOWCLAW/status/1615933848025698306,235542752,YELLOWCLAW
1615012329464397824,Mon Jan 16 15:45:19 +0000 2023,89,TRASHY IN JAKARTA https://t.co/Ux2iWlLFBp,1615012329464397824,https://pbs.twimg.com/ext_tw_video_thumb/1615012262753800193/pu/img/gTh0jUKkGjm7gc50.jpg,,in,WORLDWIDE,0,0,7,https://x.com/YELLOWCLAW/status/1615012329464397824,235542752,YELLOWCLAW
1616586339780284417,Fri Jan 20 23:59:52 +0000 2023,1108,inget hanson lingga baru debut 5 hari lalu. mungkin mereka emang udah menyiapkan tema itu dari jauh hari terus aku aja yang kayaknya baru terjun ke thrope ini /tersenyum seperti purel/ https://t.co/gd7iLmtohi,1616586339780284417,https://pbs.twimg.com/media/Fm9Es_FaAAALe3I.jpg,,in,"Edinburgh, Scotland",23,40,36,https://x.com/DPRXOLA/status/1616586339780284417,1535482891555467265,DPRXOLA
